,bill_slug,summary,date,bill_type,congress,bill_uri
0,hres616,"Sets forth the rule for consideration of the bill (H.R. 2874) to achieve reforms to improve the financial stability of the National Flood Insurance Program, to enhance the development of more accurate estimates of flood risk through new technology and better maps, to increase the role of private markets in the management of flood insurance risks, and to provide for alternative methods to insure against flood peril, and for other purposes, and providing for consideration of the conference report to accompany the bill (H.R. 2810) to authorize appropriations for fiscal year 2018 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year.",2017-11-14,hres,115,https://api.propublica.org/congress/v1/115/bills/hres616.json
0,hr3071,"Federal Acquisition Savings Act of 2017 (Sec. 2) This bill requires: (1) each executive agency to consider equipment rental in any cost-effectiveness analysis for equipment acquisition; and (2) the Government Accountability Office, within two years after enactment of this bill, to report on decisions of the agencies with the highest levels of acquisition spending, and of a sample of agencies with lower levels of acquisition spending, to acquire high-value equipment by lease, rental, or purchase.",2017-11-13,hr,115,https://api.propublica.org/congress/v1/115/bills/hr3071.json
0,hres599,"Expresses the urgent need for a political solution in Yemen consistent with United Nations Security Council Resolution 2216 or as otherwise agreed to by the parties.  Denounces the conduct of activities in Yemen and areas affected by the conflict that are inconsistent with the laws of armed conflict, including the deliberate targeting of civilian populations or the use of civilian human shields. Calls on all parties to the conflict to: (1) increase efforts to prevent civilian casualties and increase humanitarian access; and (2) allow for unobstructed access for humanitarian organizations, human rights investigators, medical relief personnel, and journalists.   Supports the Saudi-led Arab Coalition's commitments to abide by their no-strike and restricted target list and improve their targeting capabilities.  Condemns Iranian activities in Yemen in violation in such resolution and calls on all responsible countries to take necessary measures against Iran, including the interdiction of Iranian weapons to the Houthi rebels and the application of sanctions against Iran.  Encourages other governments to join in providing the resources necessary to address the humanitarian crisis.",2017-11-13,hres,115,https://api.propublica.org/congress/v1/115/bills/hres599.json
0,hr2201,"(This measure has not been amended since it was introduced. The summary has been expanded because action occurred on the measure.) Micro Offering Safe Harbor Act (Sec. 2) This bill amends the Securities Act of 1933 to exempt certain micro-offerings from: (1) state regulation of securities offerings, and (2) federal prohibitions related to interstate solicitation.  The exempted micro-offerings must meet all of the following requirements:  the purchaser has a substantive pre-existing relationship with the issuer,  during the 12-month period preceding the transaction there are no more than 35 purchasers relying on the exemption, and  the amount of all securities sold by the issuer (including any amount sold in reliance upon the exemption) during the 12-month period preceding the transaction does not exceed $500,000. ",2017-11-09,hr,115,https://api.propublica.org/congress/v1/115/bills/hr2201.json
0,hr3705,"(This measure has not been amended since it was reported to the House on November 7, 2017. The summary of that version is repeated here.) Veterans Fair Debt Notice Act of 2017 (Sec. 2) This bill directs the Department of Veterans Affairs (VA) to collaborate with veterans service organizations to write a standard letter to be provided to individuals who owe debts to the VA. Such letter shall be written in plain language and shall include a notice of the debt and a clear explanation of: (1) why the individual owes such money, and (2) available options. The VA shall develop a method by which individuals may elect to receive debt notification letters by electronic means and shall ensure that the letter is delivered: (1) by both standard mail and electronic means to individuals who have made such election, and (2) only by standard mail to individuals who have not made such election. The VA shall: (1) notify Congress regarding the completion of such letter, and (2) study and report to Congress on the process by which it notifies veterans of debt collection efforts.  ",2017-11-08,hr,115,https://api.propublica.org/congress/v1/115/bills/hr3705.json
0,hr3043,"Hydropower Policy Modernization Act of 2017 This bill designates the Federal Energy Regulatory Commission (FERC) as the lead agency for coordinating all federal authorizations and reviews related to hydropower license applications, including compliance with the National Environmental Policy Act of 1969.FERC must establish a process to set a schedule for the review and disposition of each federal authorization following the filing of an application for a license, license amendment, or exemption.  The bill expands the definition of ""renewable energy"" to include electric energy generated from hydropower projects.The bill authorizes FERC to extend the length of time of preliminary permits and to extend the time limit that a licensee has to commence construction on a hydropower project. The bill authorizes the use of trial-type hearings to resolve disputes related to a hydropower license application. Under certain circumstances, the hearing may be demanded by applicants or other parties for any disputed issues of material fact.  FERC must consult with federal and state agencies and the public to compile best practices for performing studies and environmental reviews in connection with the timely and efficient completion of hydropower license proceedings. The bill creates a process to approve license amendments for qualifying hydropower projects. ",2017-11-08,hr,115,https://api.propublica.org/congress/v1/115/bills/hr3043.json
0,hr3043,"Hydropower Policy Modernization Act of 2017 This bill designates the Federal Energy Regulatory Commission (FERC) as the lead agency for coordinating all federal authorizations and reviews related to hydropower license applications, including compliance with the National Environmental Policy Act of 1969.FERC must establish a process to set a schedule for the review and disposition of each federal authorization following the filing of an application for a license, license amendment, or exemption.  The bill expands the definition of ""renewable energy"" to include electric energy generated from hydropower projects.The bill authorizes FERC to extend the length of time of preliminary permits and to extend the time limit that a licensee has to commence construction on a hydropower project. The bill authorizes the use of trial-type hearings to resolve disputes related to a hydropower license application. Under certain circumstances, the hearing may be demanded by applicants or other parties for any disputed issues of material fact.  FERC must consult with federal and state agencies and the public to compile best practices for performing studies and environmental reviews in connection with the timely and efficient completion of hydropower license proceedings. The bill creates a process to approve license amendments for qualifying hydropower projects. ",2017-11-08,hr,115,https://api.propublica.org/congress/v1/115/bills/hr3043.json
0,hr4173,"Veterans Crisis Line Study Act of 2017  (Sec. 2) This bill directs the Department of Veterans Affairs (VA) to: (1) conduct a study on the outcomes and the efficacy of the toll-free Veterans Crisis Line during the five-year period beginning January 1, 2014, based on an analysis of national suicide data and data collected from the line, and (2) submit such study to Congress by May 31, 2019. Such study shall address: (1) the efficacy of the line in leading veterans to sustained mental health regimens and suicide prevention; (2) the line's visibility; (3) the role of the line as part of the VA's mental health care services; (4) whether receiving sustained mental health care affects suicidality and whether veterans previously receiving VA mental health care use the line in times of crisis; (5) the line's effectiveness in assisting veterans at risk for suicide when it is contacted by a non-veteran; (6) the line's overall efficacy in preventing suicides and whether the number of contacts affects such efficacy; (7) the line's long-term efficacy in preventing repeated suicide attempts and whether such efficacy is temporary; (8) whether referral to mental health care affects the risk of suicide; and (9) the line's efficacy in promoting continued mental health care for those veterans who are at high risk for suicide whose suicide was prevented. ",2017-11-08,hr,115,https://api.propublica.org/congress/v1/115/bills/hr4173.json
0,hr1,"Tax Cuts and Jobs Act  This bill amends the Internal Revenue Code to reduce tax rates and modify policies, credits, and deductions for individuals and businesses.  With respect to individuals, the bill:    replaces the seven existing tax brackets (10%, 15%, 25%, 28%, 33%, 35%, and 39.6%) with four brackets (12%, 25%, 35%, and 39.6%), increases the standard deduction,   repeals the deduction for personal exemptions,  establishes a 25% maximum rate on the business income of individuals,   increases the child tax credit and establishes a new family tax credit,  repeals the overall limitation on certain itemized deductions,   limits the mortgage interest deduction for debt incurred after November 2, 2017, to mortgages of up to $500,000 (currently $1 million), repeals the deduction for state and local income or sales taxes not paid or accrued in a trade or business,   repeals the deduction for medical expenses,   consolidates and repeals several education-related deductions and credits,   repeals the alternative minimum tax, and  repeals the estate and generation-skipping transfer taxes in six years.   For businesses, the bill:   reduces the corporate tax rate from a maximum of 35% to a flat 20% rate (25% for personal services corporations),   allows increased expensing of the costs of certain property,   limits the deductibility of net interest expenses to 30% of the business's adjusted taxable income,  repeals the work opportunity tax credit,   terminates the exclusion for interest on private activity bonds,   modifies or repeals various energy-related deductions and credits,   modifies the taxation of foreign income, and  imposes an excise tax on certain payments from domestic corporations to related foreign corporations.   The bill also repeals or modifies several additional credits and deductions for individuals and businesses. ",2017-11-16,hr,115,https://api.propublica.org/congress/v1/115/bills/hr1.json
0,hr2672,"Designates the facility of the United States Postal Service located at 520 Carter Street in Fairview, Illinois, as the ""Sgt. Douglas J. Riney Post Office.""",2017-11-15,hr,115,https://api.propublica.org/congress/v1/115/bills/hr2672.json
0,hr3821,"Designates the facility of the United States Postal Service located at 430 Main Street in Clermont, Georgia, as the ""Zachary Addington Post Office.""",2017-11-15,hr,115,https://api.propublica.org/congress/v1/115/bills/hr3821.json
0,hr2331,"Connected Government Act (Sec. 2) This bill requires: (1) a federal agency that creates or updates a website intended for use by the public to ensure that the website is mobile friendly, and (2) the Office of Management and Budget to report on agency compliance.  ""Mobile friendly"" means that the website is configured in such a way that it may be easily navigated and viewed on a smartphone, tablet computer, or similar mobile device.",2017-11-15,hr,115,https://api.propublica.org/congress/v1/115/bills/hr2331.json
0,hres619,"Sets forth the rule for consideration of the bill (H.R. 1) to provide for reconciliation pursuant to title II of the concurrent resolution on the budget for fiscal year 2018, and providing for proceedings during the period from November 17, 2017, through November 27, 2017.",2017-11-15,hres,115,https://api.propublica.org/congress/v1/115/bills/hres619.json
0,hres619,"Sets forth the rule for consideration of the bill (H.R. 1) to provide for reconciliation pursuant to title II of the concurrent resolution on the budget for fiscal year 2018, and providing for proceedings during the period from November 17, 2017, through November 27, 2017.",2017-11-15,hres,115,https://api.propublica.org/congress/v1/115/bills/hres619.json
0,hr2810,"National Defense Authorization Act for Fiscal Year 2018 This bill authorizes FY2018 appropriations and sets forth policies for Department of Defense (DOD) programs and activities, including military personnel strengths. It does not provide budget authority, which is provided in subsequent appropriations legislation.  The bill authorizes appropriations to DOD for: (1) Procurement, including aircraft, missiles, weapons and tracked combat vehicles, ammunition, shipbuilding and conversion, space procurement, and other procurement; (2) Research, Development, Test, and Evaluation; (3) Operation and Maintenance; (4) Working Capital Funds; (5) the Joint Urgent Operational Needs Fund; (6) Chemical Agents and Munitions Destruction; (7) Drug Interdiction and Counter-Drug Activities; (8) the Defense Inspector General; (9) the Defense Health Program; (10) the Armed Forces Retirement Home; (11) Overseas Contingency Operations; and (12) Military Construction.  The bill also authorizes the FY2018 personnel strength for active duty and reserve forces and sets forth policies regarding compensation and other personnel benefits, the Ready Reserve Force and Military Sealift Command surge fleet, and matters relating to foreign nations. ",2017-11-14,hr,115,https://api.propublica.org/congress/v1/115/bills/hr2810.json
